connectance_windsor,Pixel_Lat,Pixel_Long,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NDVI,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm
0.074332172,44.08750153,-74.66249847,847,58.64180756,1075.644531,234.8511353,11.48147774,0,0,41,0,12,0,47,0,611,-116,1893,0.841478765,-0.278722376,554,3.225050926,-2.625,0,0,167.1902161,0,5498.875488,1,191.6008606,57.66371918,166.0565643,43.66186905
0.102206736,43.62083435,-74.63749695,825,48.81981659,1483.487061,221.0795898,8.148572922,0,0,26,0,10,0,49,0,754,1028,1739,-0.744337022,0.119675681,829,3.162377357,-3.875,0,0.001882448,140.1231995,0,5341.870605,3,157.9013824,59.70082092,176.2854156,40.70092392
0.148664344,44.48749924,-74.17082977,827,56.47717285,965.4091187,233.9897766,17.5949688,0,0,0,0,19,0,76,0,687,-513,2140,-0.652385592,0.466181219,524.5,1.564616203,1.625,0,0.004438834,171.42276,0,5605.90625,17,198.2990112,62.58454514,199.2666473,44.48796844
0.092753623,44.27083206,-74.15416718,856,60.35837173,875.6467896,236.9302063,13.98325729,0,0,36,0,14,0,50,0,765,2300,1874,0.520362854,-0.204847783,490.5,1.04722476,1.25,0,0.00137951,144.8657837,0,6068.411621,12,200,61.83068085,134.4518127,44.82621384
0.054964539,43.82916641,-74.8041687,836,58.66180038,1246.71936,233.4265747,10.95317364,0,0,41,0,12,0,47,0,1026,2773,1638,0.852489412,0.09395849,609,2.861277342,-0.75,0,0,144.3292389,0,5596.325684,1,183.2452087,58.37597656,163.9902191,42.91200256
0.078014184,43.62083435,-74.64583588,829,47.9875679,1488.301025,220.1070557,8.148891449,0,0,25,0,11,0,49,0,787,4331,2314,-0.784146667,0.21529147,850.5,3.863544464,-1.25,0,0.001882448,160.6753845,0,5718.10791,4,142.5085144,59.59066772,186.0704803,39.65110779
0.047346939,44.16249847,-74.5708313,857,60.31254578,945.0811768,237.0663605,11.83780384,5,0,29,0,8,0,31,0,832,1993,2660,-0.176001132,-0.621480346,512,2.059678078,3.3125,0,0.012956828,161.8172455,0,5705.54541,9,197.2617798,59.88392258,157.6079254,46.11393356
0.053877551,43.77916718,-74.90416718,841,62.48310471,1079.610962,237.4286652,11.66675186,8,0,42,0,11,0,39,0,800,1698,2520,-0.660523772,-0.608171225,547.5,0.743097365,-0.5,0,0,148.6271973,0,5839.34668,5,195.4209137,60.85287476,164.908844,43.95996857
0.079999998,43.78749847,-74.8125,844,60.46001434,1222.155762,235.0783386,11.75512123,0,0,56,0,4,0,29,0,755,-1019,1687,0.947941244,-0.120740965,576.5,7.582970619,-10.5625,0,0.025208162,155.3887939,0,5368.257324,1,183.5253296,57.72019196,157.422348,41.97310638
0.055904962,44.3125,-73.9291687,834,58.30751419,778.7081909,234.4958038,16.76163292,0,0,41,0,10,0,41,0,1275,3209,1366,0.725080669,-0.589358568,518,3.260364532,-5.25,0,0,86.07537842,0,5279.616211,5,199.859726,57.39974213,162.2353058,46.2011528
0.096436059,43.85416794,-74.90416718,835,54.4113121,1306.214966,228.8414764,10.82889175,0,0,94,0,0,0,6,0,486,2024,2538,-0.962440968,0.238887832,686.5,2.52619791,-2.25,0,0,172.283905,0,5530.024902,1,132.0776215,59.08631897,158.8670044,41.08810043
0.046121593,43.82916641,-74.78749847,837,58.16466522,1278.277344,232.8133545,10.53286076,0,0,41,0,11,0,43,0,963,2239,1846,0.896278024,-0.12803635,611.5,3.982290745,-6.1875,0,0,135.9141388,0,5494.037598,1,188.1180725,57.84077835,172.3928986,42.25292206
0.074074074,43.71250153,-74.77916718,845,58.03379059,1322.501099,231.98703,8.513586044,0,0,62,0,5,0,33,0,785,71,2476,0.915293634,-0.390919864,626,5.226340294,-5.1875,0,0.00021926,173.0309296,0,5437.798828,1,172.7593231,56.60307693,176.7883606,41.87321854
0.070129871,43.87083435,-74.77916718,833,57.77002716,1161.515015,232.7310638,12.28810596,0,0,44,0,11,0,45,0,1136,368,1455,0.656752765,-0.059250008,612,5.781682014,-6.75,0,0,177.9351044,0,5827.575684,1,162.6674805,58.15420532,139.6298828,42.87648773
0.098305085,43.62916565,-74.6875,837,51.84083939,1334.636719,224.556427,7.020544052,0,0,31,0,10,0,40,0,1349,2561,1745,0.315104842,0.784959555,770.5,2.844250202,-3.25,0,0,122.6074677,0,5247.080566,3,155.7393036,59.19955063,157.3733368,40.81492233
0.076150185,43.55416489,-75.0708313,864,64.80924225,1361.722534,238.5836182,8.688648224,0,0,54,0,8,0,38,0,762,4611,2168,0.411459148,-0.243337616,554.5,1.697926879,2.25,0,0,155.5928955,0,5697.874512,1,168.5392914,56.43006134,164.0743866,41.5606842
0.070861978,43.62083435,-74.76249695,838,57.19191742,1267.661499,230.539917,7.150566101,0,0,14,0,15,0,64,0,783,3855,2437,0.739220619,0.47730279,677,3.318586826,-1.625,0,0,147.1411591,0,5470.624023,2,155.0936737,57.92389297,152.0716248,42.2352829
0.055555556,44.37916565,-74.34583282,839,58.03744125,1008.256409,235.4743805,16.23113441,0,0,0,0,28,0,72,0,1079,569,1278,-0.387825429,-0.252725869,513,1.603252411,-0.9375,0,0,152.6990204,0,5657.773438,10,199.8868866,61.04724503,175.2905731,44.47674561
0.083333333,43.52916718,-75.0541687,861,65.50622559,1327.280396,239.2160339,9.45224762,0,0,76,0,10,0,13,0,655,-1138,3174,-0.549849987,0.525975227,553,1.906699419,4.4375,0,0,177.0140381,0,5411.303223,5,175.9274292,53.76000977,166.2578125,41.31305695
